N°	Client	Type	ERP	Effectif	Avocats_Associes	Avocats_Collaborateurs	Secretaires	Assistants_Juridiques	Juristes	Informatique	RH	Communication	Documentation	Comptabilite	Departement
5695	MOREL Julien	Client	NEO	21	4	4	7	4	1	0	0	1	0	0	68
5696	THOMAS , LEFEBVRE	Prospect	AvocatOnline	10	3	2	2	1	0	0	0	1	1	0	42
5697	LEFEBVRE, ROBERT, PERRIN & ASSOCIES	Prospect	PolyOffice	2	1	1	0	0	0	0	0	0	0	0	59
5698	GARNIER ET PIERRE	Prospect	PolyOffice	8	2	2	3	1	0	0	0	0	0	0	92
5699	DUVAL	Client	NEO	14	3	3	6	2	0	0	0	0	0	0	54
5700	MEUNIER CABINET	Client	NEO	10	3	2	2	1	0	0	0	1	1	0	92
5701	ROUX	Prospect	PolyOffice	16	4	3	5	3	0	1	0	0	0	0	92
5702	SCP BARBIER BENOIT GAUTIER	Client	AIR	6	2	1	1	0	0	0	0	0	2	0	75
5703	GUERIN	Prospect	AvocatOnline	1	1	0	0	0	0	0	0	0	0	0	75
5704	ROUX, FABRE, GIRAUD PARTNERS	Prospect	PolyOffice	2	1	1	0	0	0	0	0	0	0	0	75
5705	SCP ROY MEUNIER MOREL	Client	NEO	4	2	0	2	0	0	0	0	0	0	0	69
5706	DAVID, LEROY, DUFOUR ET ASSOCIES	Client	NEO	4	2	0	2	0	0	0	0	0	0	0	44
5707	GAUTHIER JURISTES TOULOUSE	Prospect	PolyOffice	14	3	3	4	2	0	1	1	0	0	0	59
5708	RENARD , ROUSSEL	Client	NEO	26	5	4	10	6	1	0	0	0	0	0	66
5709	SCP MASSON MAURY BERTRAND	Client	AIR	8	2	2	3	1	0	0	0	0	0	0	31
5710	LAURENT - JEAN	Prospect	Kléos	4	2	0	0	2	0	0	0	0	0	0	75
5711	BERTRAND EXPERTISE	Client	ADAPPS	4	2	2	0	0	0	0	0	0	0	0	75
5712	SELARL PIERRE DUBOIS	Client	NEO	12	3	2	3	2	0	0	0	1	1	0	94
5713	BERNARD AFFAIRES	Prospect	Kléos	1	1	0	0	0	0	0	0	0	0	0	75
5714	DUMAS Philippe	Prospect	Kami	12	3	2	4	2	0	0	0	1	0	0	69
5715	SCP NOEL PHILIPPE MOREL PIERRE	Prospect	AvocatOnline	7	2	1	2	1	0	0	0	1	0	0	75
5716	LUCAS	Prospect	AvocatOnline	29	5	5	13	4	2	0	0	0	0	0	92
5718	CABINET ROCHE ALEXANDRE JEAN NOEL	Prospect	Jarvis	1	1	0	0	0	0	0	0	0	0	0	55
5719	LEROY CONSEIL	Client	AIR	1	1	0	0	0	0	0	0	0	0	0	54
5720	MARTINEZ - COLIN	Client	NEO	4	2	0	0	2	0	0	0	0	0	0	38
5721	FOURNIER Nathalie	Client	AIR	8	2	2	1	1	0	0	1	1	0	0	67
5722	SCP JEAN DUFOUR NGUYEN FONTAINE	Prospect	AvocatOnline	2	1	1	0	0	0	0	0	0	0	0	31
5723	SELARL BERTRAND GIRAUD DUBOIS NICOLAS	Client	NEO	4	2	0	0	2	0	0	0	0	0	0	75
5724	ROBERT	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	75
5725	COLIN , ADAM	Prospect	AvocatOnline	6	2	2	0	0	0	1	1	0	0	0	75
5726	LEROY - MAURY	Client	AIR	1	1	0	0	0	0	0	0	0	0	0	75
5727	CABINET MERCIER MATHIEU LEGRAND	Prospect	Kléos	4	2	2	0	0	0	0	0	0	0	0	75
5728	DUVAL JURIDIQUE	Prospect	AvocatOnline	26	5	5	10	5	1	0	0	0	0	0	84
5729	DUFOUR ET FAURE	Client	NEO	18	4	3	6	4	1	0	0	0	0	0	92
5730	FAURE DROIT	Client	AIR	1	1	0	0	0	0	0	0	0	0	0	75
5731	MOREL - MEUNIER	Client	AIR	1	1	0	0	0	0	0	0	0	0	0	13
5732	PHILIPPE SELARL	Client	NEO	8	2	2	1	1	0	0	0	0	2	0	71
5733	LEGRAND JURIDIQUE	Prospect	AvocatOnline	31	6	5	7	11	1	0	0	0	1	0	75
5734	FAURE	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	93
5735	DURAND, JEAN, DUPONT PARTNERS	Client	NEO	24	5	4	8	4	1	0	1	0	0	1	24
5736	GARNIER ET MAURY	Prospect	Kléos	1	1	0	0	0	0	0	0	0	0	0	69
5737	DURAND , ADAM	Client	AIR	2	1	0	1	0	0	0	0	0	0	0	13
5738	GAUTHIER	Client	ADAPPS	1	1	0	0	0	0	0	0	0	0	0	31
5739	PERRIN Michel	Prospect	AvocatOnline	1	1	0	0	0	0	0	0	0	0	0	54
5740	MARTINEZ Claude	Prospect	PolyOffice	27	5	5	10	6	1	0	0	0	0	0	92
5741	ROBIN ET PAUL	Client	NEO	6	2	1	1	0	0	0	2	0	0	0	75
5742	CABINET VINCENT DENIS BERNARD RENAUD	Prospect	PolyOffice	7	2	1	1	1	0	2	0	0	0	0	84
5743	LEFEBVRE DROIT	Prospect	Clématis	1	1	0	0	0	0	0	0	0	0	0	59
5744	FONTAINE	Client	NEO	9	3	2	1	0	0	1	0	1	1	0	95
5745	LECLERC & ASSOCIES	Client	NEO	6	2	1	2	1	0	0	0	0	0	0	75
5746	LEBRUN JURISTES	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	94
5747	SCP ROUSSEL ADAM PIERRE JEAN	Client	AIR	24	5	4	9	4	1	1	0	0	0	0	95
5748	MAURY DROIT	Prospect	Kami	1	1	0	0	0	0	0	0	0	0	0	94
5749	JEAN	Prospect	Kléos	1	1	0	0	0	0	0	0	0	0	0	75
5750	DUBOIS PENAL MARSEILLE	Prospect	AvocatOnline	5	2	2	1	0	0	0	0	0	0	0	13
5751	DENIS Laurence	Prospect	AvocatOnline	63	11	10	6	20	9	1	2	1	1	2	75
5752	PHILIPPE, CHARLES, FABRE PARTNERS	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	92
5753	MICHEL	Client	AIR	2	1	1	0	0	0	0	0	0	0	0	13
5754	DAVID Daniel	Prospect	AvocatOnline	1	1	0	0	0	0	0	0	0	0	0	13
5755	LUCAS Christine	Client	AIR	1	1	0	0	0	0	0	0	0	0	0	92
5756	SELARL BERNARD MARCHAND FAURE	Prospect	Clématis	9	3	2	3	1	0	0	0	0	0	0	75
5757	DUBOIS SCP	Prospect	PolyOffice	1	1	0	0	0	0	0	0	0	0	0	65
5758	NICOLAS Marie	Client	NEO	22	5	4	7	4	1	0	1	0	0	0	92
5759	GIRAUD, NOEL, SANCHEZ ET ASSOCIES	Client	NEO	22	4	4	8	4	1	0	0	1	0	0	44
5760	NICOLAS	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	75
5761	BLANC, GAUTHIER, MORIN ET ASSOCIES	Client	AIR	1	1	0	0	0	0	0	0	0	0	0	75
5762	SCHMITT EXPERTISE	Client	NEO	5	2	2	1	0	0	0	0	0	0	0	01
5763	BRUNET LAW FIRM	Prospect	Clématis	2	1	0	1	0	0	0	0	0	0	0	74
5764	ROUX LAW FIRM	Client	AIR	2	1	1	0	0	0	0	0	0	0	0	21
5765	LEROUX , MORIN	Client	AIR	74	12	12	9	19	14	2	2	1	1	2	75
5766	DUBOIS	Prospect	PolyOffice	6	2	2	1	0	0	0	0	0	1	0	75
5767	DUVAL SOCIAL (13012)	Client	NEO	19	4	3	7	3	1	1	0	0	0	0	21
5768	GIRAUD - COLIN	Prospect	AvocatOnline	2	1	1	0	0	0	0	0	0	0	0	94
5769	SCP GAUTHIER PETIT LECLERC	Client	AIR	5	2	3	0	0	0	0	0	0	0	0	45
5770	CARON Nathalie	Prospect	PolyOffice	7	2	2	2	1	0	0	0	0	0	0	59
5771	THOMAS & BLANCHARD	Client	NEO	3	2	0	1	0	0	0	0	0	0	0	69
5772	PIERRE, JOLY, LUCAS ET ASSOCIES	Prospect	AvocatOnline	2	1	0	1	0	0	0	0	0	0	0	03
5773	PERRIN, MORIN, RENARD & ASSOCIES	Prospect	AvocatOnline	21	4	4	8	3	1	1	0	0	0	0	67
5774	LECLERC	Client	NEO	7	2	2	0	1	0	0	2	0	0	0	75
5775	SCP GARNIER DUMAS	Prospect	Jarvis	9	3	2	2	1	0	0	0	1	0	0	59
5776	LEMAIRE Sophie	Prospect	PolyOffice	24	5	4	8	3	1	1	0	0	1	1	75
5777	FAURE ET GIRAUD	Client	AIR	2	1	0	1	0	0	0	0	0	0	0	66
5778	GARNIER, MASSON, JACQUES ET ASSOCIES	Prospect	Clématis	1	1	0	0	0	0	0	0	0	0	0	95
5779	ADAM, MOREL, JOLY ET ASSOCIES	Client	NEO	3	2	1	0	0	0	0	0	0	0	0	51
5780	SIMON JURIDIQUE	Prospect	PolyOffice	9	3	2	2	1	0	1	0	0	0	0	33
5781	CABINET DAVID GUILLOT THOMAS	Client	NEO	6	2	1	1	2	0	0	0	0	0	0	69
5782	ROBERT, MARTINEZ, ROBIN & ASSOCIES	Prospect	Kléos	6	2	1	2	1	0	0	0	0	0	0	59
5783	DENIS Alain	Client	NEO	2	1	1	0	0	0	0	0	0	0	0	49
5784	CABINET GAUTIER DUPONT MORIN	Prospect	Clématis	23	4	4	5	8	1	0	0	0	0	1	90
5785	SELARL BERTRAND ANDRE PIERRE	Prospect	PolyOffice	2	1	1	0	0	0	0	0	0	0	0	13
5786	RENAUD	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	44
5787	NICOLAS SCP	Client	NEO	2	1	0	1	0	0	0	0	0	0	0	75
5788	NGUYEN, ADAM, MARCHAND ET ASSOCIES	Client	NEO	8	2	2	2	1	0	0	0	1	0	0	13
5789	NOEL	Client	NEO	9	3	2	2	1	0	0	0	1	0	0	92
5790	CARON CONSEIL (69007)	Client	AIR	2	1	1	0	0	0	0	0	0	0	0	75
5791	CABINET ROUX LAURENT SCHMITT PAYET	Client	NEO	2	1	1	0	0	0	0	0	0	0	0	69
5792	BLANCHARD - ADAM	Prospect	AvocatOnline	15	4	3	4	2	0	0	0	1	1	0	79
5793	LEGRAND - PIERRE	Prospect	Kléos	7	2	2	1	0	0	0	1	0	1	0	14
5794	BERNARD André	Client	AIR	1	1	0	0	0	0	0	0	0	0	0	75
5795	LUCAS	Prospect	AvocatOnline	7	2	2	2	1	0	0	0	0	0	0	31
5796	LAURENT	Client	NEO	7	2	2	1	0	0	1	0	1	0	0	44
5797	SELARL RICHARD MARTIN BOYER JOLY	Client	NEO	9	2	2	2	1	0	1	1	0	0	0	33
5798	BERNARD & DUPONT	Client	AIR	1	1	0	0	0	0	0	0	0	0	0	39
5799	BLANCHARD & ASSOCIES	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	44
5800	CHEVALIER & PAYET	Client	NEO	43	7	6	20	8	1	0	0	0	0	1	37
5801	CLEMENT AFFAIRES (13011)	Prospect	AvocatOnline	47	8	8	17	10	2	0	0	0	1	1	34
5802	ROBIN CABINET	Client	AIR	7	2	2	0	1	0	0	2	0	0	0	75
5803	LECLERC	Client	AIR	10	3	2	3	2	0	0	0	0	0	0	75
5805	MEUNIER SELARL	Client	AIR	23	4	4	8	4	0	0	0	1	1	1	04
5806	ROUX, CASTEL, ROY & ASSOCIES	Prospect	AvocatOnline	26	5	5	10	5	1	0	0	0	0	0	13
5807	MAURY	Client	NEO	9	2	2	3	2	0	0	0	0	0	0	75
5808	BOYER CONSEIL	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	75
5809	DURAND ET JACQUES	Client	AIR	1	1	0	0	0	0	0	0	0	0	0	75
5810	DUMAS LEGAL LIMOGES	Client	NEO	10	3	2	4	1	0	0	0	0	0	0	45
5811	LEBRUN SCP	Client	NEO	25	5	4	5	8	1	0	1	0	0	1	75
5812	ROUSSEL SOCIAL REIMS	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	75
5813	BERNARD Michel	Client	AIR	24	4	4	8	4	2	0	1	0	0	1	75
5814	SELARL CHEVALIER PIERRE BLANC	Client	NEO	5	2	1	0	2	0	0	0	0	0	0	69
5815	NGUYEN, MATHIEU, ROGER ET ASSOCIES	Client	NEO	15	3	3	6	2	1	0	0	0	0	0	75
5816	ROUSSEL, FERNANDEZ, LEBRUN ET ASSOCIES	Client	NEO	2	1	1	0	0	0	0	0	0	0	0	76
5817	DUMONT LAW FIRM	Prospect	AvocatOnline	2	1	1	0	0	0	0	0	0	0	0	69
5818	DUMONT - ROUSSEAU	Prospect	AvocatOnline	1	1	0	0	0	0	0	0	0	0	0	75
5819	PAYET	Client	AIR	1	1	0	0	0	0	0	0	0	0	0	53
5820	RENAUD , DUBOIS	Client	NEO	9	3	2	3	1	0	0	0	0	0	0	38
5821	BLANCHARD	Client	NEO	19	4	3	8	3	1	0	0	0	0	0	75
5822	DUVAL , DUMAS	Prospect	Clématis	3	2	0	1	0	0	0	0	0	0	0	62
5823	RENARD	Client	AIR	2	1	1	0	0	0	0	0	0	0	0	67
5824	MEYER	Prospect	AvocatOnline	4	2	2	0	0	0	0	0	0	0	0	92
5825	ALEXANDRE	Client	NEO	9	3	2	3	1	0	0	0	0	0	0	93
5826	ALEXANDRE, NOEL, LEMAIRE PARTNERS	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	68
5827	FERNANDEZ ET LEMAIRE	Prospect	Clématis	25	4	4	12	4	1	0	0	0	0	0	43
5828	PAUL, LEBRUN, NGUYEN & ASSOCIES	Client	NEO	2	1	1	0	0	0	0	0	0	0	0	75
5829	FRANCOIS	Client	AIR	3	2	1	0	0	0	0	0	0	0	0	75
5830	LOPEZ	Client	NEO	2	1	1	0	0	0	0	0	0	0	0	95
5831	MASSON André	Client	NEO	23	5	4	8	5	0	1	0	0	0	0	59
5832	DAVID LEGAL	Prospect	PolyOffice	1	1	0	0	0	0	0	0	0	0	0	69
5833	MULLER, BLANCHARD, LOPEZ ET ASSOCIES	Prospect	AvocatOnline	4	2	0	0	0	2	0	0	0	0	0	59
5834	DUMAS CABINET	Client	NEO	12	3	2	4	2	1	0	0	0	0	0	93
5835	MAURY EXPERTISE NANTERRE	Client	ADAPPS	18	4	4	6	3	0	0	0	1	0	0	81
5836	ALEXANDRE, MERCIER, LOUIS PARTNERS	Client	ADAPPS	14	4	3	4	2	0	0	0	0	1	0	92
5837	ADAM	Prospect	AvocatOnline	9	3	2	2	1	0	0	0	1	0	0	33
5838	BONNET AFFAIRES (69006)	Prospect	AvocatOnline	25	5	4	5	8	1	1	0	0	0	1	13
5839	MARTINEZ Martine	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	2B
5840	ROY	Prospect	Jarvis	12	3	3	3	2	0	0	1	0	0	0	75
5841	MAURY	Prospect	AvocatOnline	47	8	7	20	7	2	0	1	1	0	1	26
5842	MAURY ADMINISTRATIF ROUEN	Prospect	AvocatOnline	6	2	1	1	0	0	0	2	0	0	0	74
5843	NICOLAS - BARBIER	Client	NEO	10	3	2	2	1	0	0	1	1	0	0	34
5844	GIRAUD SOCIAL TROYES	Client	NEO	4	2	2	0	0	0	0	0	0	0	0	67
5845	CLEMENT JURISTES	Client	AIR	9	2	2	3	1	0	0	1	0	0	0	33
5846	SCP GAUTHIER BLANCHARD	Client	NEO	12	3	2	3	2	1	0	1	0	0	0	19
5847	MEUNIER	Client	AIR	17	3	3	7	3	1	0	0	0	0	0	69
5848	FRANCOIS AVOCATS (13015)	Prospect	PolyOffice	10	3	2	4	1	0	0	0	0	0	0	75
5849	BERNARD, ROBERT, LAURENT PARTNERS	Prospect	AvocatOnline	2	1	1	0	0	0	0	0	0	0	0	69
5850	JOLY SCP	Client	AIR	8	2	2	3	1	0	0	0	0	0	0	75
5851	DAVID	Prospect	Jarvis	4	2	2	0	0	0	0	0	0	0	0	75
5852	MARTIN	Client	AIR	2	1	1	0	0	0	0	0	0	0	0	44
5853	GAUTHIER , DENIS	Prospect	Kléos	10	3	2	4	1	0	0	0	0	0	0	67
5854	MEYER	Client	NEO	2	1	0	1	0	0	0	0	0	0	0	06
5855	ROGER JURIDIQUE	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	04
5856	CHEVALIER Claude	Prospect	PolyOffice	7	2	1	3	1	0	0	0	0	0	0	75
5857	ROY , BRUN	Client	NEO	7	2	2	1	0	0	1	1	0	0	0	75
5858	FAURE JURISTES	Client	NEO	31	5	5	11	6	1	1	1	0	0	1	44
5859	LEFEVRE Céline	Prospect	Jarvis	5	2	3	0	0	0	0	0	0	0	0	18
5860	LUCAS SELARL	Client	NEO	4	2	2	0	0	0	0	0	0	0	0	75
5861	MORIN - MICHEL	Prospect	AvocatOnline	1	1	0	0	0	0	0	0	0	0	0	24
5862	GIRARD Sandrine	Client	NEO	20	4	3	9	3	1	0	0	0	0	0	92
5863	DUVAL Pascal	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	90
5864	FRANCOIS Olivier	Prospect	AvocatOnline	22	4	4	5	8	1	0	0	0	0	0	59
5865	GIRARD EXPERTISE	Client	AIR	2	1	1	0	0	0	0	0	0	0	0	94
5866	MORIN LAW FIRM	Client	AIR	8	2	2	2	1	0	0	1	0	0	0	69
5867	LEBRUN	Client	ADAPPS	1	1	0	0	0	0	0	0	0	0	0	92
5868	MATHIEU	Prospect	AvocatOnline	5	2	1	2	0	0	0	0	0	0	0	95
5869	SCP ROUSSEL GERARD LECLERC PAUL	Client	NEO	19	4	4	7	3	0	0	1	0	0	0	57
5870	PERRIN SOCIAL ROUEN	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	31
5871	LOUIS	Client	NEO	2	1	1	0	0	0	0	0	0	0	0	44
5872	JEAN, GARCIA, LUCAS & ASSOCIES	Client	ADAPPS	2	1	0	1	0	0	0	0	0	0	0	35
5873	JOLY CONSEILS	Client	NEO	2	1	0	1	0	0	0	0	0	0	0	13
5874	SANCHEZ, PEREZ, FABRE PARTNERS	Client	ADAPPS	6	2	1	2	1	0	0	0	0	0	0	75
5875	CABINET GUILLOT NOEL	Client	AIR	1	1	0	0	0	0	0	0	0	0	0	75
5876	PEREZ , MATHIEU	Prospect	Kléos	6	2	2	0	0	0	0	1	0	1	0	92
5877	GAUTHIER Christian	Prospect	AvocatOnline	131	22	22	13	38	23	3	3	2	1	4	69
5878	BERNARD	Client	NEO	5	2	0	0	0	3	0	0	0	0	0	75
5879	LEFEBVRE JURISTES	Client	NEO	4	2	2	0	0	0	0	0	0	0	0	34
5880	BRUNET EXPERTISE (13004)	Prospect	AvocatOnline	2	1	1	0	0	0	0	0	0	0	0	35
5881	CABINET LECOMTE DUMONT CHARLES CLEMENT	Client	ADAPPS	2	1	1	0	0	0	0	0	0	0	0	76
5882	ROUSSEAU IMMOBILIER EPINAL	Client	AIR	10	3	2	3	2	0	0	0	0	0	0	49
5883	ROUSSEAU Nicole	Client	NEO	14	4	3	4	2	0	0	1	0	0	0	69
5884	BLANC EXPERTISE (13011)	Client	NEO	10	3	2	2	1	0	0	1	0	1	0	75
5885	ROBIN	Prospect	Jarvis	8	2	2	1	1	0	0	0	0	2	0	69
5886	ROBERT, MAURY, LEMAIRE PARTNERS	Client	NEO	10	2	2	4	2	0	0	0	0	0	0	93
5887	BRUNET	Client	NEO	6	2	2	0	0	0	1	0	0	1	0	49
5888	LEFEBVRE	Prospect	PolyOffice	5	2	3	0	0	0	0	0	0	0	0	75
5889	NICOLAS	Client	AIR	9	3	2	3	1	0	0	0	0	0	0	75
5890	LECLERC	Client	AIR	10	3	2	3	1	0	0	1	0	0	0	63
5891	GARNIER EXPERTISE (13002)	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	13
5892	BARBIER	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	92
5893	LEFEVRE, DAVID, LEMAIRE ET ASSOCIES	Client	NEO	7	2	1	2	1	0	0	1	0	0	0	94
5894	CHARLES DROIT	Client	ADAPPS	6	2	2	1	0	0	0	1	0	0	0	75
5895	MORIN	Client	NEO	10	3	2	3	1	0	0	0	0	1	0	93
5896	SELARL LEROY ROUSSEAU MORIN	Client	NEO	5	2	1	0	0	2	0	0	0	0	0	51
5897	BLANC	Prospect	AvocatOnline	5	2	2	1	0	0	0	0	0	0	0	29
5898	LEFEBVRE DROIT	Client	AIR	5	2	3	0	0	0	0	0	0	0	0	93
5899	SCP RENAUD BONNET JOLY DUMAS	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	93
5900	GIRARD, ROUX, MASSON ET ASSOCIES	Client	NEO	6	2	2	1	0	0	0	0	0	1	0	92
5901	LECOMTE	Client	NEO	13	3	3	4	2	0	0	0	1	0	0	71
5902	SELARL LAURENT LOUIS MAURY	Prospect	PolyOffice	2	1	0	1	0	0	0	0	0	0	0	31
5903	ROBERT, LEROUX, PERRIN ET ASSOCIES	Prospect	AvocatOnline	5	2	1	2	0	0	0	0	0	0	0	81
5904	GAUTHIER CONSEIL	Client	NEO	2	1	1	0	0	0	0	0	0	0	0	74
5905	GAUTHIER, PHILIPPE, GIRAUD & ASSOCIES	Prospect	Kléos	8	3	2	2	1	0	0	0	0	0	0	76
5906	PHILIPPE CONSEIL	Prospect	AvocatOnline	2	1	1	0	0	0	0	0	0	0	0	75
5907	FERNANDEZ & DUFOUR	Client	NEO	25	5	5	8	4	1	1	1	0	0	0	91
5908	PEREZ Sébastien	Client	NEO	6	2	1	1	0	0	0	0	0	2	0	75
5909	FABRE	Prospect	AvocatOnline	22	4	4	10	3	1	0	0	0	0	0	75
5910	MERCIER AVOCATS	Prospect	Kléos	1	1	0	0	0	0	0	0	0	0	0	92
5911	DUFOUR, ANDRE, BARBIER & ASSOCIES	Prospect	Kami	1	1	0	0	0	0	0	0	0	0	0	87
5912	GERARD , GAUTHIER	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	13
5913	FOURNIER ET DURAND	Client	NEO	21	4	4	7	4	1	1	0	0	0	0	15
5914	CLEMENT	Client	NEO	10	3	2	2	1	0	1	0	1	0	0	56
5915	MORIN	Prospect	AvocatOnline	2	1	0	1	0	0	0	0	0	0	0	93
5916	SCP BONNET JEAN	Client	NEO	2	1	1	0	0	0	0	0	0	0	0	92
5917	RICHARD	Prospect	AvocatOnline	1	1	0	0	0	0	0	0	0	0	0	42
5918	GERARD	Prospect	Jarvis	9	3	2	3	1	0	0	0	0	0	0	69
5919	SELARL MOREAU GAUTIER COLIN	Prospect	AvocatOnline	41	7	6	16	9	1	0	0	0	1	1	35
5920	JOLY	Prospect	Jarvis	2	1	1	0	0	0	0	0	0	0	0	57
5921	FABRE Laurent	Client	NEO	10	3	2	4	1	0	0	0	0	0	0	75
5922	MASSON	Client	AIR	10	2	2	4	2	0	0	0	0	0	0	75
5923	SELARL ROY LECLERC FABRE	Prospect	Kami	1	1	0	0	0	0	0	0	0	0	0	13
5924	DAVID, LOUIS, LEROUX ET ASSOCIES	Prospect	AvocatOnline	40	6	6	18	7	1	1	0	0	0	1	75
5925	DAVID & ADAM	Client	NEO	2	1	1	0	0	0	0	0	0	0	0	55
5926	SIMON	Client	NEO	14	3	3	4	2	0	0	1	0	1	0	69
5927	PIERRE, LAURENT, MEYER & ASSOCIES	Prospect	AvocatOnline	7	2	2	2	1	0	0	0	0	0	0	87
5928	DUMAS, MARTINEZ, FAURE & ASSOCIES	Client	ADAPPS	1	1	0	0	0	0	0	0	0	0	0	31
5929	PIERRE & ASSOCIES	Client	AIR	2	1	0	1	0	0	0	0	0	0	0	05
5930	SELARL JEAN LAMBERT MOREL	Client	NEO	7	2	2	1	0	0	0	1	0	1	0	33
5931	GERARD SCP	Client	NEO	10	3	2	3	2	0	0	0	0	0	0	90
5932	LEBRUN, DUFOUR, LEGRAND & ASSOCIES	Prospect	AvocatOnline	14	3	3	5	3	0	0	0	0	0	0	94
5933	ALEXANDRE	Client	AIR	1	1	0	0	0	0	0	0	0	0	0	52
5934	DURAND	Client	NEO	7	2	2	1	0	0	2	0	0	0	0	75
5935	GERARD	Client	NEO	9	2	2	3	1	0	0	0	1	0	0	33
5936	LECLERC	Client	NEO	22	5	4	7	4	1	0	0	0	1	0	28
5937	SELARL FOURNIER MEYER	Prospect	AvocatOnline	1	1	0	0	0	0	0	0	0	0	0	75
5938	NOEL & ASSOCIES	Client	AIR	8	2	2	2	2	0	0	0	0	0	0	75
5939	NGUYEN	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	93
5940	MARTIN ET ASSOCIES	Prospect	PolyOffice	5	2	1	0	0	2	0	0	0	0	0	83
5941	FRANCOIS Philippe	Client	AIR	7	2	1	3	1	0	0	0	0	0	0	31
5942	FONTAINE	Client	NEO	2	1	1	0	0	0	0	0	0	0	0	69
5943	MERCIER , LOUIS	Prospect	AvocatOnline	2	1	0	1	0	0	0	0	0	0	0	75
5944	NICOLAS , ROUSSEAU	Client	AIR	10	3	2	4	1	0	0	0	0	0	0	19
5945	MORIN DROIT	Client	NEO	21	4	3	8	4	1	0	0	0	0	1	78
5946	LAMBERT	Prospect	Jarvis	2	1	1	0	0	0	0	0	0	0	0	33
5948	LEBRUN , JOLY	Client	NEO	16	3	3	6	3	1	0	0	0	0	0	44
5949	CABINET CLEMENT GARCIA BOYER MEUNIER	Prospect	AvocatOnline	4	2	0	2	0	0	0	0	0	0	0	75
5950	FAURE ET GAUTHIER	Client	AIR	9	3	2	2	1	0	0	0	1	0	0	75
5951	BRUNET & PERRIN	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	75
5952	GUILLOT	Client	NEO	8	2	2	2	1	0	0	0	0	1	0	2B
5953	DUFOUR ET SIMON	Client	NEO	2	1	1	0	0	0	0	0	0	0	0	61
5954	CABINET ROY PEREZ LOUIS	Client	NEO	22	5	4	4	6	1	0	0	1	1	0	75
5955	MORIN , NOEL	Prospect	Kléos	15	3	3	6	2	1	0	0	0	0	0	65
5957	MATHIEU CONSEIL	Prospect	AvocatOnline	11	3	2	4	2	0	0	0	0	0	0	75
5958	DAVID, DURAND, MEYER PARTNERS	Prospect	AvocatOnline	2	1	1	0	0	0	0	0	0	0	0	92
5959	DURAND Laurent	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	75
5960	PIERRE CABINET	Prospect	Clématis	11	3	2	2	2	0	1	0	0	1	0	13
5961	LEFEVRE, LEBRUN, MERCIER & ASSOCIES	Prospect	AvocatOnline	8	2	2	2	1	0	1	0	0	0	0	75
5962	PIERRE CABINET	Prospect	Kami	2	1	0	1	0	0	0	0	0	0	0	94
5963	ROCHE - RENAUD	Prospect	PolyOffice	15	3	3	4	3	0	0	1	0	1	0	83
5964	VINCENT	Prospect	AvocatOnline	16	3	3	6	3	1	0	0	0	0	0	75
5965	PAUL CONSEIL	Client	NEO	2	1	0	1	0	0	0	0	0	0	0	92
5966	JACQUES SOCIAL MEAUX	Client	NEO	2	1	1	0	0	0	0	0	0	0	0	94
5967	MEUNIER , MICHEL	Prospect	Clématis	8	2	2	1	1	0	0	0	2	0	0	55
5968	ADAM, JACQUES, LEFEVRE & ASSOCIES	Client	AIR	17	4	4	5	2	0	0	1	0	1	0	13
5969	BRUNET Patrick	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	31
5970	LEFEVRE & MORIN	Prospect	Clématis	2	1	1	0	0	0	0	0	0	0	0	69
5971	MICHEL	Client	NEO	1	1	0	0	0	0	0	0	0	0	0	38
5972	DUVAL CONSEILS	Prospect	Jarvis	1	1	0	0	0	0	0	0	0	0	0	75
5973	GERARD Agnès	Prospect	PolyOffice	7	2	1	1	1	0	2	0	0	0	0	76
5974	MAURY Nathalie	Client	NEO	2	1	1	0	0	0	0	0	0	0	0	75
5975	ROY , JOLY	Prospect	Jarvis	13	3	2	5	3	0	0	0	0	0	0	75
5976	SELARL DUVAL DUMAS CASTEL	Client	NEO	12	3	2	4	2	1	0	0	0	0	0	94
5977	CABINET LAURENT PHILIPPE CHEVALIER LOPEZ	Prospect	Kléos	13	3	3	2	4	1	0	0	0	0	0	31
